                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.59893,                0.41052,                 1.0389,                0.79573,                0.66633,                0.72983,                0.45919,                  1.528,                 1.0894,                 1.8214,               0.008416,               0.008416,               0.008416
                     82,                0.60381,                0.41342,                 1.0447,                0.80008,                0.68885,                 0.7307,                0.46426,                 1.5186,                 1.1513,                 1.7669,              0.0083962,              0.0083962,              0.0083962
                     83,                0.59494,                0.41838,                 1.0436,                0.84049,                0.63989,                0.70596,                0.45817,                 1.5389,                 1.1661,                 1.7913,              0.0083764,              0.0083764,              0.0083764
                     84,                0.58711,                0.40612,                 1.0383,                0.79591,                0.66588,                0.72548,                0.44785,                 1.5594,                  1.172,                 1.8141,              0.0083566,              0.0083566,              0.0083566
                     85,                  0.583,                0.40408,                  1.038,                0.79712,                0.70563,                0.75882,                0.48653,                 1.4817,                 1.0687,                 1.7398,              0.0083368,              0.0083368,              0.0083368
                     86,                0.58603,                0.39834,                 1.0355,                0.77614,                 0.6646,                0.71948,                0.45784,                 1.5671,                 1.0797,                 1.8328,               0.008317,               0.008317,               0.008317
                     87,                0.58311,                0.39521,                 1.0335,                0.79035,                0.65987,                0.73685,                0.46235,                 1.4851,                 1.1989,                 1.7455,              0.0082972,              0.0082972,              0.0082972
                     88,                0.58375,                0.40204,                 1.0371,                0.80836,                 0.6496,                0.73487,                0.46397,                 1.5304,                 1.1806,                 1.8177,              0.0082774,              0.0082774,              0.0082774
                     89,                 0.5812,                  0.401,                 1.0323,                0.82565,                0.68205,                0.74323,                0.45787,                 1.5856,                 1.2467,                  1.851,              0.0082576,              0.0082576,              0.0082576
                     90,                 0.5853,                0.39835,                 1.0353,                0.81888,                0.67267,                0.74238,                0.46932,                 1.5486,                 1.1844,                 1.7975,              0.0082378,              0.0082378,              0.0082378
                     91,                0.57561,                0.39065,                 1.0286,                0.77645,                 0.6648,                0.72577,                0.46623,                  1.525,                 1.3022,                  1.777,               0.008218,               0.008218,               0.008218
                     92,                 0.5831,                0.39604,                 1.0336,                0.81378,                0.68125,                0.74044,                0.47321,                 1.4949,                 1.1864,                 1.7831,              0.0081982,              0.0081982,              0.0081982
                     93,                0.57474,                0.38961,                 1.0309,                0.78987,                0.63281,                0.69249,                0.44835,                 1.5638,                 1.3519,                 1.8333,              0.0081784,              0.0081784,              0.0081784
                     94,                0.58156,                0.39548,                 1.0319,                0.79443,                 0.6237,                0.69573,                0.45057,                 1.5803,                 1.3226,                 1.8415,              0.0081586,              0.0081586,              0.0081586
                     95,                 0.5759,                0.38822,                 1.0292,                0.80708,                0.66777,                0.72876,                0.47537,                 1.5079,                 1.1652,                 1.7941,              0.0081388,              0.0081388,              0.0081388
                     96,                0.56954,                0.38276,                 1.0267,                0.78192,                0.70082,                0.73927,                0.48083,                 1.5135,                 1.0538,                  1.799,               0.008119,               0.008119,               0.008119
                     97,                0.56975,                0.38956,                 1.0258,                0.77931,                0.67365,                0.70997,                0.46268,                 1.5069,                 1.1917,                 1.7897,              0.0080992,              0.0080992,              0.0080992
                     98,                0.56744,                 0.3904,                 1.0281,                0.77506,                0.68966,                0.72828,                0.46971,                 1.4896,                 1.2144,                 1.7572,              0.0080794,              0.0080794,              0.0080794
                     99,                0.55916,                 0.3823,                 1.0232,                0.81445,                0.68446,                0.74301,                 0.4813,                 1.4722,                 1.1345,                 1.7562,              0.0080596,              0.0080596,              0.0080596
                    100,                0.56107,                0.38274,                 1.0237,                 0.8399,                0.68045,                0.76072,                0.49416,                 1.4514,                 1.0853,                 1.7329,              0.0080398,              0.0080398,              0.0080398
                    101,                0.55955,                0.37862,                 1.0271,                0.78617,                0.70012,                0.74825,                0.48131,                 1.4893,                 1.1032,                 1.7745,                0.00802,                0.00802,                0.00802
                    102,                0.55551,                0.37817,                 1.0188,                 0.7798,                0.72617,                0.77516,                0.49739,                 1.4362,                 1.0951,                 1.7347,              0.0080002,              0.0080002,              0.0080002
                    103,                0.56598,                0.38459,                 1.0261,                0.85119,                0.66731,                0.75476,                0.48817,                 1.4744,                 1.1994,                 1.7512,              0.0079804,              0.0079804,              0.0079804
                    104,                 0.5556,                0.37911,                 1.0188,                0.83936,                0.70452,                0.77433,                0.49967,                 1.4723,                 1.1546,                 1.7526,              0.0079606,              0.0079606,              0.0079606
                    105,                0.55733,                0.37922,                 1.0249,                 0.8459,                0.69987,                0.77038,                0.49632,                 1.4515,                 1.1411,                 1.7352,              0.0079408,              0.0079408,              0.0079408
